pelvis_Xposition,pelvis_Yposition,pelvis_Zposition,pelvis_Xrotation,pelvis_Yrotation,pelvis_Zrotation,spine_Xrotation,spine_Yrotation,spine_Zrotation,spine.001_Xrotation,spine.001_Yrotation,spine.001_Zrotation,neck_Xrotation,neck_Yrotation,neck_Zrotation,face_Xrotation,face_Yrotation,face_Zrotation,shoulder.L_Yrotation,shoulder.L_Xrotation,shoulder.L_Zrotation,upper_arm.L_Xrotation,upper_arm.L_Yrotation,upper_arm.L_Zrotation,forearm.L_Xrotation,forearm.L_Yrotation,forearm.L_Zrotation,shoulder.R_Yrotation,shoulder.R_Xrotation,shoulder.R_Zrotation,upper_arm.R_Xrotation,upper_arm.R_Yrotation,upper_arm.R_Zrotation,forearm.R_Xrotation,forearm.R_Yrotation,forearm.R_Zrotation,pelvis.L_Yrotation,pelvis.L_Xrotation,pelvis.L_Zrotation,pelvis.R_Yrotation,pelvis.R_Xrotation,pelvis.R_Zrotation,thigh.L_Xrotation,thigh.L_Yrotation,thigh.L_Zrotation,shin.L_Xrotation,shin.L_Yrotation,shin.L_Zrotation,foot.L_Xrotation,foot.L_Yrotation,foot.L_Zrotation,heel.02.L_Xrotation,heel.02.L_Yrotation,heel.02.L_Zrotation,thigh.R_Xrotation,thigh.R_Yrotation,thigh.R_Zrotation,shin.R_Xrotation,shin.R_Yrotation,shin.R_Zrotation,foot.R_Xrotation,foot.R_Yrotation,foot.R_Zrotation,heel.02.R_Xrotation,heel.02.R_Yrotation,heel.02.R_Zrotation
-0.091897,-0.160593,0.907351,-0.0,0.0,2.819675,-6.367385,2.820079,0.305607,9.999987,0.003148,0.025681,17.708843,0.242025,-0.648979,0.81246,0.0,-2e-06,1.137974,0.001388,-0.1397,-17.965534,74.051115,23.575983,11.358723,27.743621,-42.699365,1.191252,0.00152,-0.146297,-20.583745,-65.987769,-31.105563,18.301323,-37.914493,48.880382,2.338358,-2e-06,7.9e-05,2.338358,-0.0,-0.0,5.037246,4.578446,0.062795,0.756128,-1.359901,0.048571,-8.291084,-3.022445,4.274006,-6.853499,43.909319,30.566814,2.744458,-4.765752,-0.029695,5.786663,5.105715,-0.56043,-10.621035,5.365738,-7.940272,-16.462913,-47.242093,-37.525855
-0.09173,-0.160486,0.908673,-0.0,0.0,3.129289,-6.336427,2.843917,0.307414,10.000009,-0.02411,-0.196104,18.156461,0.396959,-0.714385,0.389745,-0.0,-4e-06,1.285239,0.001771,-0.157884,-22.764269,73.387009,30.122323,12.127941,27.680798,-45.522965,1.338525,0.00192,-0.164383,-21.446015,-63.175418,-34.066631,20.278239,-39.574437,51.480468,2.476697,-3e-06,0.000127,2.476666,-0.0,0.0,4.988812,4.57332,0.062415,0.757116,-1.402132,0.048913,-8.301264,-2.891401,4.015424,-6.730778,43.772176,30.466069,2.669967,-4.756364,-0.029107,5.995523,5.055564,-0.578083,-10.690282,5.535543,-8.226883,-16.623692,-47.355266,-37.609819
-0.090667,-0.160543,0.909707,-0.0,0.0,3.434284,-6.346186,2.781112,0.300863,9.999836,-0.049277,-0.401207,18.781509,0.638512,-0.885499,-0.099145,0.0,0.0,1.541763,0.002546,-0.189283,-27.009051,72.487336,36.152065,12.980941,27.883506,-48.143131,1.595077,0.002726,-0.195862,-22.095274,-60.211826,-37.027658,22.542988,-41.398863,54.221925,2.532208,1e-06,-5.8e-05,2.532209,-0.0,0.0,4.929786,4.652996,0.058235,0.814883,-1.484768,0.053231,-8.356421,-2.765939,3.754843,-6.634923,43.627741,30.323414,2.625294,-4.656501,-0.030917,6.162889,4.925568,-0.587291,-10.74152,5.705876,-8.520143,-16.846115,-47.515591,-37.747976
-0.089112,-0.16047,0.910452,-0.0,0.0,3.627784,-6.352503,2.669246,0.288905,9.999558,-0.081534,-0.663984,19.603213,0.994573,-1.051177,-0.54282,-1e-06,-0.0,1.865985,0.00373,-0.229044,-28.997998,71.797658,39.182907,13.415114,28.122501,-49.211762,1.919265,0.003947,-0.235605,-22.303168,-57.38854,-39.394769,25.118067,-43.526111,56.904177,2.559661,-2e-06,9.4e-05,2.559631,-0.0,-0.0,4.852555,4.795737,0.051253,0.924464,-1.581835,0.061169,-8.424406,-2.691933,3.591348,-6.594869,43.523352,30.187858,2.558453,-4.528909,-0.032987,6.326242,4.804682,-0.596243,-10.790938,5.818687,-8.708038,-17.039749,-47.656409,-37.879085
-0.087671,-0.160205,0.911047,-0.0,0.0,3.679425,-6.325139,2.568662,0.277394,9.998875,-0.124171,-1.011393,20.485648,1.427362,-1.097087,-0.828626,0.0,1e-06,2.18257,0.005103,-0.26794,-29.725919,71.386057,40.409978,13.476257,28.341868,-49.04751,2.235852,0.005355,-0.274494,-21.954707,-54.852631,-40.750155,28.138236,-46.095396,59.546136,2.616045,2e-06,-9.8e-05,2.616046,-0.0,-0.0,4.766493,4.943705,0.044162,1.056292,-1.652627,0.070541,-8.484726,-2.684743,3.560361,-6.601921,43.477398,30.100162,2.443119,-4.442594,-0.033345,6.521857,4.764973,-0.612469,-10.879784,5.859389,-8.748828,-17.137751,-47.727552,-37.946841
-0.086496,-0.160017,0.911588,-0.0,0.0,3.661913,-6.279143,2.493874,0.268302,9.997954,-0.16993,-1.384128,21.245488,1.868773,-1.007463,-0.979418,0.0,2e-06,2.463023,0.006496,-0.302233,-31.605707,70.71273,43.344268,13.833189,28.939351,-49.232984,2.516265,0.006781,-0.30882,-21.21093,-52.613866,-41.229569,31.7391,-49.034912,62.380316,2.699853,-2e-06,9.5e-05,2.699822,-0.0,-0.0,4.678455,5.053476,0.038846,1.216587,-1.667884,0.081409,-8.54782,-2.711501,3.594596,-6.629059,43.459015,30.037116,2.329432,-4.383243,-0.033004,6.706762,4.763728,-0.629799,-11.014252,5.865403,-8.709029,-17.150214,-47.738938,-37.966409
-0.085343,-0.160153,0.912065,-0.0,0.0,3.680181,-6.266726,2.410749,0.259092,9.996955,-0.205925,-1.677421,21.895131,2.276726,-0.832605,-1.176584,-0.0,-5e-06,2.73074,0.007989,-0.335156,-35.186044,69.301148,49.120303,14.944664,30.244508,-50.63069,2.783984,0.008303,-0.341712,-20.401454,-50.610346,-41.397216,35.996921,-52.093662,65.700566,2.764753,-2e-06,9.4e-05,2.764722,-0.0,-0.0,4.580283,5.11454,0.035577,1.440837,-1.625983,0.09589,-8.627915,-2.718739,3.586093,-6.664672,43.422603,29.933188,2.291981,-4.278803,-0.034569,6.798308,4.695415,-0.634379,-11.157941,5.882239,-8.685584,-17.144454,-47.741287,-37.992661
-0.084129,-0.160538,0.912419,-0.0,0.0,3.774295,-6.319682,2.29907,0.248162,9.996492,-0.225531,-1.836763,22.589843,2.636201,-0.603414,-1.527894,-0.0,3e-06,2.996127,0.009615,-0.367658,-38.098952,67.561431,54.413484,16.388873,31.886625,-52.321489,3.049367,0.00996,-0.374247,-19.767128,-48.857805,-41.681356,40.745172,-54.9332,69.523348,2.782126,0.0,1.4e-05,2.78216,-0.0,-0.0,4.469829,5.134734,0.033927,1.71686,-1.548535,0.113108,-8.715245,-2.683457,3.493278,-6.720952,43.361866,29.763478,2.333564,-4.115036,-0.038539,6.792557,4.544393,-0.624928,-11.283282,5.921808,-8.710223,-17.17574,-47.76981,-38.04176
-0.083089,-0.160886,0.912649,-0.0,0.0,3.895042,-6.403237,2.188541,0.237843,9.996275,-0.232212,-1.891265,23.38512,2.92848,-0.390018,-1.9411,-1e-06,-3e-06,3.228913,0.011169,-0.396259,-38.742998,66.672577,56.052122,17.115954,32.892125,-52.817682,3.282159,0.01154,-0.402759,-19.380523,-47.523982,-42.09463,45.326368,-57.240998,73.261709,2.777341,-2e-06,9.6e-05,2.777343,-0.0,1e-06,4.372396,5.129082,0.033403,1.95577,-1.463796,0.12741,-8.783912,-2.632134,3.374949,-6.805948,43.31151,29.57851,2.374722,-3.969809,-0.042236,6.791089,4.421349,-0.61753,-11.396311,5.961987,-8.740401,-17.258517,-47.827747,-38.090841
-0.082404,-0.161022,0.912829,-0.0,0.0,3.966661,-6.442418,2.122438,0.231392,9.9961,-0.235118,-1.915111,24.174454,3.1647,-0.329994,-2.256818,-1e-06,1e-06,3.402887,0.012403,-0.41755,-37.511686,66.97327,54.1492,16.815852,32.895584,-51.97621,3.456164,0.012795,-0.424126,-19.22918,-46.773163,-42.469245,48.875553,-58.936466,76.009548,2.793527,2e-06,-6.6e-05,2.793497,-0.0,0.0,4.323261,5.123122,0.033255,2.067942,-1.399828,0.133568,-8.810942,-2.604811,3.314692,-6.902093,43.299451,29.446404,2.346532,-3.912157,-0.042916,6.882232,4.420319,-0.625776,-11.50552,5.976349,-8.725314,-17.374043,-47.901845,-38.128623
-0.081955,-0.160988,0.913015,-0.0,0.0,3.965201,-6.392993,2.110982,0.22922,9.99575,-0.244197,-1.989243,24.820308,3.409838,-0.447107,-2.398807,-1e-06,-1e-06,3.529057,0.013339,-0.433017,-35.791151,67.548187,51.360752,16.285751,32.538799,-51.021165,3.58237,0.013746,-0.439599,-19.275291,-46.565494,-42.755594,51.005445,-60.107065,77.390387,2.832642,0.0,-1e-05,2.832643,-0.0,-0.0,4.327484,5.142294,0.032559,2.054411,-1.377751,0.1323,-8.787256,-2.608601,3.328533,-6.985407,43.31775,29.381292,2.260041,-3.922079,-0.041138,7.043754,4.508936,-0.645924,-11.599435,5.960449,-8.661576,-17.49486,-47.978459,-38.165454
